SYMBOL	interaction	target	Neighbourhood
CDK18	pp	C2	Cytosol
CDK2	pp	C2	Cytosol
CDK3	pp	C2	Cytosol
CDK4	pp	C2	Cytosol
CDK5	pp	C2	Cytosol
CDKL1	pp	C2	Cytosol
CDR2L	pp	C2	Cytosol
CENPBD1	pp	C2	Cytosol
CENPE	pp	C2	Cytosol
CENPJ	pp	C2	Cytosol
CEP104	pp	C2	Cytosol
CEP112	pp	C2	Cytosol
CEP135	pp	C2	Cytosol
CEP170	pp	C2	Cytosol
CEP170B	pp	C2	Cytosol
CEP192	pp	C2	Cytosol
CEP250	pp	C2	Cytosol
CEP55	pp	C2	Cytosol
CEP97	pp	C2	Cytosol
CETN2	pp	C2	Cytosol
CKAP5	pp	C2	Cytosol
CKS2	pp	C2	Cytosol
CLIC2	pp	C2	Cytosol
CLTA	pp	C2	Cytosol
CLTB	pp	C2	Cytosol
CLTC	pp	C2	Cytosol
CLUAP1	pp	C2	Cytosol
CMTR2	pp	C2	Cytosol
CNTRL	pp	C2	Cytosol
COBLL1	pp	C2	Cytosol
COG1	pp	C2	Cytosol
COG3	pp	C2	Cytosol
COG6	pp	C2	Cytosol
COL21A1	pp	C2	Cytosol
COL3A1	pp	C2	Cytosol
COMMD2	pp	C2	Cytosol
COMMD4	pp	C2	Cytosol
COPB2	pp	C2	Cytosol
COPG1	pp	C2	Cytosol
COPS2	pp	C2	Cytosol
COPS3	pp	C2	Cytosol
COPS4	pp	C2	Cytosol
COPS5	pp	C2	Cytosol
COPS6	pp	C2	Cytosol
COPS7A	pp	C2	Cytosol
COPS8	pp	C2	Cytosol
COPZ1	pp	C2	Cytosol
CPA6	pp	C2	Cytosol
